,Volume,vw,Open,Close,High,Low,t,n
732,166008.0,443.0147,443.09,442.9617,443.1581,442.9,1688564820000,1808.0
733,188136.0,442.9159,442.96,442.86,443.01,442.81,1688564880000,1939.0
734,157512.0,442.9646,442.865,443.13,443.13,442.86,1688564940000,1599.0
735,192549.0,443.217,443.13,443.145,443.31,443.11,1688565000000,2132.0
736,123895.0,443.1581,443.16,443.23,443.23,443.1,1688565060000,1407.0
737,87680.0,443.1796,443.225,443.17,443.25,443.1,1688565120000,1087.0
738,89347.0,443.2473,443.17,443.27,443.29,443.17,1688565180000,1170.0
739,67832.0,443.2557,443.27,443.25,443.3197,443.18,1688565240000,970.0
740,93980.0,443.2095,443.25,443.16,443.2975,443.1321,1688565300000,1093.0
741,84323.0,443.2424,443.17,443.28,443.32,443.15,1688565360000,1137.0
742,135812.0,443.2279,443.28,443.14,443.3,443.13,1688565420000,1408.0
743,84666.0,443.1291,443.14,443.15,443.185,443.1,1688565480000,1027.0
744,77064.0,443.177,443.16,443.22,443.23,443.13,1688565540000,1024.0
745,82337.0,443.1909,443.23,443.15,443.2701,443.12,1688565600000,1129.0
746,117943.0,443.1506,443.16,443.1,443.26,443.01,1688565660000,1309.0
747,201024.0,443.261,443.1,443.245,443.44,443.08,1688565720000,1999.0
748,92972.0,443.2648,443.26,443.27,443.3109,443.21,1688565780000,1147.0
749,109684.0,443.3129,443.28,443.195,443.385,443.175,1688565840000,1301.0
750,81667.0,443.2061,443.18,443.17,443.25,443.15,1688565900000,1123.0
751,224744.0,443.1511,443.18,443.28,443.309,443.12,1688565960000,1087.0
752,109104.0,443.3355,443.28,443.31,443.3991,443.2609,1688566020000,1253.0
753,121092.0,443.352,443.3,443.41,443.45,443.27,1688566080000,1423.0
754,115564.0,443.2869,443.41,443.171,443.41,443.15,1688566140000,1421.0
755,200795.0,443.1367,443.17,443.06,443.27,443.0,1688566200000,2002.0
756,342344.0,443.0716,443.05,443.16,443.16,442.93,1688566260000,1854.0
757,109190.0,443.2234,443.16,443.27,443.295,443.145,1688566320000,1265.0
758,70490.0,443.2447,443.29,443.21,443.31,443.18,1688566380000,973.0
759,65522.0,443.2423,443.23,443.269,443.2891,443.19,1688566440000,891.0
760,88712.0,443.32,443.27,443.38,443.38,443.26,1688566500000,1212.0
761,163467.0,443.4541,443.38,443.35,443.575,443.35,1688566560000,1946.0
762,133160.0,443.4469,443.3508,443.46,443.5309,443.34,1688566620000,1538.0
763,82421.0,443.4263,443.4501,443.47,443.481,443.37,1688566680000,1086.0
764,88372.0,443.4931,443.48,443.48,443.55,443.445,1688566740000,1192.0
765,148223.0,443.5194,443.47,443.45,443.585,443.445,1688566800000,1487.0
766,104061.0,443.5402,443.46,443.54,443.61,443.4575,1688566860000,1320.0
767,117741.0,443.5042,443.55,443.53,443.57,443.43,1688566920000,1491.0
768,83040.0,443.5233,443.54,443.4815,443.55,443.48,1688566980000,1196.0
769,109417.0,443.4339,443.48,443.47,443.51,443.37,1688567040000,1232.0
770,96555.0,443.4667,443.48,443.5099,443.52,443.41,1688567100000,1122.0
771,80687.0,443.4705,443.505,443.5,443.52,443.43,1688567160000,1002.0
772,172900.0,443.5802,443.5,443.53,443.625,443.495,1688567220000,1758.0
773,145760.0,443.4529,443.525,443.42,443.54,443.4,1688567280000,1481.0
774,86151.0,443.3942,443.43,443.47,443.47,443.341,1688567340000,1270.0
775,128511.0,443.5663,443.48,443.575,443.6299,443.48,1688567400000,1565.0
776,87023.0,443.5971,443.58,443.58,443.64,443.55,1688567460000,1024.0
777,106742.0,443.5876,443.59,443.63,443.64,443.54,1688567520000,1323.0
